nombreVacante,area,nivelPuesto
Ejecutivo de ventas,Operativo,Operativo
Montacarguista,Producción,Técnico
MECANICO APARATISTA TORNERO FRESADOR,Operativo,Operativo
Almacenista,Operativo,Operativo
Tecnico de molde  ,Producción,Técnico
Técnico mantenimiento industrial,Mantenimiento industrial,Técnico especializado
Traductor,Administración,Mandos medios
Almacenista,Operativo,Operativo
OPERADOR DE PRODUCCION ,Operativo,Operativo
Operador de montacargas,Logística,Técnico
Team Member A,Comercialización,Operativo
Administrador financiero contable,Administración,Técnico especializado
Auxiliar de Control de Archivo,Administración,Operativo
Ejecutivo de Logística y Comercio Internacional,Logística,Mandos medios
Pegador de calzado,Producción,Operativo
PERSONAL DE LIMPIEZA,Operativo,Operativo
Almacenista de pieles,Operativo,Operativo
Auxiliar Contable ,Finanzas y Contabilidad,Técnico especializado
Repartidor en Motocicleta,Operativo,Operativo
Auxiliar contable y cajera,Administración,Técnico especializado
Inspector de calidad,Producción,Operativo
ASESORA DE VENTAS,Comercialización,Técnico
Guardia de seguridad,Administración,Operativo
Ayudante general,Producción,Operativo
Líder de logística,Logística,Operativo
Operador de manufactura ,Operativo,Operativo
Auxiliar de almacén,Operativo,Operativo
Vigilante,Operativo,Operativo
Supervisor administrativo,Administración,Mandos medios
Supervisor de operaciones logísticas,Logística,Mandos medios
Empaque Embarque,Logística,Mandos medios
Coordinador de cuentas por Cobrar,Finanzas y Contabilidad,Mandos medios
Operador de producción de industria metálica,Producción,Operativo
Técnico de producción,Producción,Técnico
System Engineer in Monterrey,Informática,Técnico
Asesor de ventas,Comercialización,Operativo
Team Member A,Comercialización,Operativo
Coordinador de importación y exportación,Logística,Mandos medios
Empleado almacenista,Producción,Técnico
BOMBERO / PARAMÉDICO,Seguridad planta,Técnico especializado
Promotor de ventas,Operativo,Operativo
Lavador de vehículos,Operativo,Operativo
Auxiliar de Logística ,Logística,Técnico
Secretaria facturista,Administración,Técnico
Chofer,Operativo,Operativo
Ayudante de Vendedor,Operativo,Operativo
Abastecedor de materiales,Producción,Operativo
Auxiliar administrativo,Administración,Operativo
Ayudante de Planta ,Operativo,Operativo
